FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,87436666,"I think there could be better communication, when I get instructions verbally I am overwhelmed",My typing speed has increased a lot,I would like to have more of: Reduced overnight stays,"I saw another study involving autism in mice, this is unhelpful as mice are not complex social creatures",Really enjoying this app,1/1/2019,13
Autistica - Adjustments,7,28755653,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I feel really depressed that I have only been told that I have failed,I have requested this: Ability to control temperature,I read that autism is being diagnosed more often,Visualisations are nice,1/1/2019,14
Autistica - Adjustments,7,66722819,We had an overnight hackathon and there were not enough vegan options,I was successful in meeting my deadlines,I would like to have more of: Software to improve accessibility (e.g. screen reader),I watched a video about autism and employment,Really enjoying this app,1/1/2019,15
Autistica - Adjustments,7,65438804,People start working too early in the morning and my request to start later was refused,I enjoyed my work this week,I would like to have more of: One questions at a time,I have not seen anything in the media about autism,Not sure what to say,1/1/2019,16
Autistica - Adjustments,7,15938146,My manager often criticises me,I was successful in factoring in enough time to arrive at meetings without feeling flushed,"What has really helped is: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",There should be more news about autism,Nope,1/1/2019,17
Autistica - Adjustments,7,37603401,I asked for instructions to be written down but they are still provided verbally,I was praised by my coworkers but not my manager,I would like to have more of: Avoid working in areas with fluorescent strip lighting,I heard this story about a gender bias in diagnosing autism,I would like to upgrade this app,1/1/2019,18
Autistica - Adjustments,7,23337145,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I was able to network well this week which I usually struggle with,I've not had much success asking for the following: Longer time to familiarise with new routine when there are changes,I read a newspaper article about: a cyber hacker,I think there should be more research in to employment opportunities,1/1/2019,19
Autistica - Adjustments,7,99599196,People start working too early in the morning and my request to start later was refused,I changed the way I work and it has led to more prodcutivity,I have tried the following: Maximise personal space where possible (e.g. spaced out seating in meetings),I read a newspaper article about: low income and employment for autistic people,I can’t think of any right now,1/1/2019,20
Autistica - Adjustments,7,25718877,I asked for deadlines but I was not given them. ,It's so frustrating because I feel that I am close to success but it never really happens,I have tried the following: Clear signage throughout building and designated quiet areas,I watched a film about: difficulty in switching between tasks,Nope,1/1/2019,21
Autistica - Adjustments,7,97909632,I don’t like cookies but my team keeps celebrating cookies,I have successfully managed a team to complete a project,I would like to have more of: Noise-cancelling headphones,I saw a story about a: excellent autistic creativity,Not sure what to say,1/1/2019,22
Autistica - Adjustments,7,40268226,We had an overnight hackathon and there were not enough vegan options,I have felt less depressed,What has really helped is: Allocated parking space,I read a newspaper article about: a cyber hacker,I can’t think of any right now,1/1/2019,23
Autistica - Adjustments,7,63985686,Not sure what to say,It's so frustrating because I feel that I am close to success but it never really happens,What has really helped is: No role-play on training courses,I watched a film about: superior focus,Nope,1/1/2019,24
Autistica - Adjustments,7,63237915,Communication is not happening the way I have requested,I feel really depressed that I have only been told that I have failed,"I've not had much success asking for the following: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I watched a film about: difficulty in switching between tasks,I think there should be more research in to employment opportunities,1/1/2019,25
Autistica - Adjustments,7,50544037,I asked not to be moved to another team but this was rejected,I was able to network well this week which I usually struggle with,Examples of good adjustments include: Frequent feedback,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there has been enough research on younger populations,1/1/2019,26
Autistica - Adjustments,7,14286843,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I have more confidence in meetings,"Here are some things that have helped Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I read a newspaper article about: bad parenting,I'm finding this app sort of helpful,1/1/2019,27
Autistica - Adjustments,7,53175760,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was able to use text instead of speech to interact in the meeting,Some things which I have tried are: Ability to control temperature,I saw a story about a: a cyber hacker,I think there should be more research in to employment opportunities,1/1/2019,28
Autistica - Adjustments,7,56361261,My manager often criticises me,I feel really depressed that I have only been told that I have failed,"Some things which I have tried are: Online access to further information about sources of support for job role, mental health and wellbeing",My friend told me about another friend who said that:  a cyber hacker,I think there has been enough research on younger populations,1/1/2019,29
Autistica - Adjustments,7,66411825,I asked not to be moved to another team but this was rejected,Not many successes to report unfortunately ,Here are some things that have helped Allocated desk (i.e. in otherwise hot-desking environment),I saw a story about a: bad parenting,Not sure what to say,1/1/2019,30
Autistica - Adjustments,7,34060153,I asked for instructions to be written down but they are still provided verbally,I was successufl in extending my contract,Some things which I have tried are: Colleagues refrain from wearing strong perfumes if asked,I watched a film about: low income and employment for autistic people,Not sure what to say,1/1/2019,31
Autistica - Adjustments,7,11168511,I was reallocated a new desk even though I liked my old desk,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have requested this: Desk fan,I read a newspaper article about: excellent autistic creativity,Nope,1/1/2019,32
Autistica - Adjustments,7,85920205,We had an overnight hackathon and there were not enough vegan options,I have successfully managed a team to complete a project,I have requested this: A team culture of not eating lunch at desks,I watched a film about: difficulty in switching between tasks,I think there has been enough research on younger populations,1/1/2019,33
Autistica - Adjustments,7,83766303,Not sure what to say,I have more confidence in meetings,What has really helped is: Training staff on neurodiversity and specific needs,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be more research in to employment opportunities,1/1/2019,34
Autistica - Adjustments,7,64793738,I don’t like socialising but it is compulsory to network as part of my job,I have reduced the arguments I have with people,I've not had much success asking for the following: Online accessible resources about getting up to speed in a new role,I saw a story about a: a cyber hacker,I would like to upgrade this app,1/1/2019,35
Autistica - Adjustments,7,59096037,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I feel really depressed that I have only been told that I have failed,I've not had much success asking for the following: Set hours for responding to emails,I read a newspaper article about: low income and employment for autistic people,Really enjoying this app,1/1/2019,36
Autistica - Adjustments,7,77773077,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I worked in the quite room and that was very productive,Examples of good adjustments include: Repositioning of desk (e.g. in corner to avoid being startled),My friend told me about another friend who said that:  a cyber hacker,Not sure what to say,1/1/2019,37
Autistica - Adjustments,7,47375033,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I have reduced the arguments I have with people,Some things which I have tried are: Reduced overnight stays,I saw a story about a: low income and employment for autistic people,Really enjoying this app,1/1/2019,38
Autistica - Adjustments,7,39847852,Sometime people misread my facial expressions,I haven’t had any success,I've not had much success asking for the following: Ensuring all team members understand and respect adjustments in absence of manager,I read a newspaper article about: superior focus,Really enjoying this app,1/1/2019,39
Autistica - Adjustments,7,68971632,I asked for deadlines but I was not given them. ,I ate less gluten which is harder than it sounds,I have requested this: Process for having concerns recorded and taken seriously,I read a newspaper article about: a mathematic genius,I think there should be better pathways to requesting adjustments,1/1/2019,40
Autistica - Adjustments,7,22090963,I asked not to be moved to another team but this was rejected,I changed the way I work and it has led to more prodcutivity,I have requested this: Flexibility to eat lunch separately from colleagues,I watched a film about: low income and employment for autistic people,I think there should be better pathways to requesting adjustments,1/1/2019,41
Autistica - Adjustments,7,60377624,My manager sucks,Not many successes to report unfortunately ,I've not had much success asking for the following: A team culture of not eating lunch at desks,I watched a film about: difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,1/1/2019,42
Autistica - Adjustments,7,30738880,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I was successful in meeting my deadlines,Here are some things that have helped Extra breaks to manage cognitive overload and processing speeds,My friend told me about another friend who said that:  superior focus,I can’t think of any right now,1/1/2019,43
Autistica - Adjustments,7,86589369,I was reallocated a new desk even though I liked my old desk,I was able to use text instead of speech to interact in the meeting,Some things which I have tried are: Handouts in advance of training/ presentations,I watched a film about: superior focus,Not sure what to say,1/1/2019,44
Autistica - Adjustments,7,66155821,We had an overnight hackathon and there were not enough vegan options,I have more confidence in meetings,Examples of good adjustments include: Ensuring all team members understand and respect adjustments in absence of manager,I read a newspaper article about: superior focus,I think there has been enough research on younger populations,1/1/2019,45
Autistica - Adjustments,7,61677296,I had to do training on fire and safety even though I completed three months ago,Not many successes to report unfortunately ,Here are some things that have helped Longer time to familiarise with new routine when there are changes,I saw a story about a: superior focus,I think there has been enough research on younger populations,1/1/2019,46
Autistica - Adjustments,7,56419454,I don’t like cookies but my team keeps celebrating cookies,I haven’t had any success,Some things which I have tried are: Trialling workspace before starting,I watched a film about: superior focus,I'm finding this app sort of helpful,1/1/2019,47
Autistica - Adjustments,7,86397034,People start working too early in the morning and my request to start later was refused,I have more confidence in meetings,Examples of good adjustments include: Consistent job duties,I read a newspaper article about: excellent autistic creativity,I think there has been enough research on younger populations,1/1/2019,48
Autistica - Adjustments,7,41455969,I was fired from my job for bringinging a bear into work. I left it in the canteen because it was hungry but then it ate all the food and people,I have more confidence in meetings,I've not had much success asking for the following: Online accessible resources about getting up to speed in a new role,My friend told me about another friend who said that:  low income and employment for autistic people,I think there has been enough research on younger populations,1/1/2019,49
Autistica - Adjustments,7,23394144,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was able to network well this week which I usually struggle with,I would like to have more of: Flexible deadlines,My friend told me about another friend who said that:  a cyber hacker,I would like to upgrade this app,1/1/2019,50
Autistica - Adjustments,7,21326904,I don’t like cookies but my team keeps celebrating cookies,Not many successes to report unfortunately ,Here are some things that have helped Advanced notice of changes,I saw a story about a: difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,1/1/2019,51
Autistica - Adjustments,7,44980497,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I haven’t had any success,I would like to have more of: Laptop stand (neck and back support),My friend told me about another friend who said that:  bad parenting,I think there should be better pathways to requesting adjustments,1/1/2019,52
Autistica - Adjustments,7,38982647,I asked not to be moved to another team but this was rejected,I changed the way I work and it has led to more prodcutivity,Some things which I have tried are: Blue screen filter for computer screen,I watched a film about: a mathematic genius,I think there should be more research in to employment opportunities,1/1/2019,53
Autistica - Adjustments,7,80484260,I'm always asked to shake hands of clients but I don’t like to touch other people,I feel really depressed that I have only been told that I have failed,I would like to have more of: Keeping promises,I read a newspaper article about: bad parenting,Really enjoying this app,1/1/2019,54
Autistica - Adjustments,7,24052776,I was reallocated a new desk even though I liked my old desk,I had a meeting with my boss to change the lighting and it was changed,I have tried the following: Access to other job opportunities within the company,I watched a film about: a mathematic genius,Nope,1/1/2019,55
Autistica - Adjustments,7,70538701,I asked for instructions to be written down but they are still provided verbally,I taught my coworkers to use this app,"I have tried the following: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I saw a story about a: bad parenting,I think there should be better pathways to requesting adjustments,1/1/2019,56
Autistica - Adjustments,7,89804580,My manager often criticises me,I was able to network well this week which I usually struggle with,What has really helped is: Fast response to malfunctioning equipment (e.g. flashing light),I read a newspaper article about: a cyber hacker,I can’t think of any right now,1/1/2019,57
Autistica - Adjustments,7,17191527,People start working too early in the morning and my request to start later was refused,I was able to network well this week which I usually struggle with,Examples of good adjustments include: Minimising phone-call meetings,I saw a story about a: excellent autistic creativity,I think there has been enough research on younger populations,1/1/2019,58
Autistica - Adjustments,7,12248148,I don’t like socialising but it is compulsory to network as part of my job,I ate less gluten which is harder than it sounds,Examples of good adjustments include: Process for having concerns recorded and taken seriously,I watched a film about: bad parenting,I think there should be more research in to employment opportunities,1/1/2019,59
Autistica - Adjustments,7,14567809,My manager often criticises me,I had a meeting with my boss to change the lighting and it was changed,I have requested this: One questions at a time,I watched a film about: a cyber hacker,Nope,1/1/2019,60
Autistica - Adjustments,7,53779464,I asked for instructions to be written down but they are still provided verbally,I taught my coworkers to use this app,I have requested this: Reduced overnight stays,I read a newspaper article about: superior focus,Nope,1/1/2019,61
Autistica - Adjustments,7,97777931,My manager often criticises me,I have felt less depressed,Here are some things that have helped Written communication preference over verbal communication,I watched a film about: bad parenting,I think there should be more research in to employment opportunities,1/1/2019,62
Autistica - Adjustments,7,99713717,Every birthday my office buys me cake but I don't eat cake,I have reduced the arguments I have with people,Here are some things that have helped Work away from fire doors (which slam shut),I saw a story about a: difficulty in switching between tasks,I think there should be more research in to employment opportunities,1/1/2019,63
Autistica - Adjustments,7,93466703,I asked for instructions to be written down but they are still provided verbally,I managed my anxiety before a big presentation better,What has really helped is: Widespread training on neurodiversity,I watched a film about: difficulty in switching between tasks,I'm finding this app sort of helpful,1/1/2019,64
Autistica - Adjustments,7,37419497,My manager often criticises me,I worked in the quite room and that was very productive,Here are some things that have helped Evolving job role based on strengths,I read a newspaper article about: excellent autistic creativity,I think there should be better pathways to requesting adjustments,1/1/2019,65
Autistica - Adjustments,7,35358065,I had to do training on fire and safety even though I completed three months ago,I managed my anxiety before a big presentation better,Here are some things that have helped Ergonomic wrist rest and keyboard.,My friend told me about another friend who said that:  a cyber hacker,I'm finding this app sort of helpful,1/1/2019,66
Autistica - Adjustments,7,86131995,I had to do training on fire and safety even though I completed three months ago,I have more confidence in meetings,Examples of good adjustments include: Desk fan,I read a newspaper article about: a mathematic genius,I can’t think of any right now,1/1/2019,67
Autistica - Adjustments,7,57180656,I asked for deadlines but I was not given them. ,Not many successes to report unfortunately ,I've not had much success asking for the following: Changing to part time work,I watched a film about: bad parenting,Nope,1/1/2019,68
Autistica - Adjustments,7,62929404,Sometime people misread my facial expressions,My typing speed has increased a lot,Some things which I have tried are: Working near familiar and understanding colleagues,I read a newspaper article about: a cyber hacker,I think there has been enough research on younger populations,1/1/2019,69
Autistica - Adjustments,7,30901982,I had to do training on fire and safety even though I completed three months ago,I changed jobs and used this app to transfer my reasonable adjustments ,I have tried the following: Avoid working in areas with fluorescent strip lighting,My friend told me about another friend who said that:  difficulty in switching between tasks,Really enjoying this app,1/1/2019,70
Autistica - Adjustments,7,93085379,I asked for instructions to be written down but they are still provided verbally,I changed the way I work and it has led to more prodcutivity,Some things which I have tried are: Minimise meeting attendance,I saw a story about a: difficulty in switching between tasks,Not sure what to say,1/1/2019,71
Autistica - Adjustments,7,77431644,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I feel really depressed that I have only been told that I have failed,I would like to have more of: Longer time to familiarise with new routine when there are changes,I watched a film about: difficulty in switching between tasks,I'm finding this app sort of helpful,1/1/2019,72
Autistica - Adjustments,7,67013133,My manager often criticises me,I have reduced the arguments I have with people,"Here are some things that have helped Ability to set preference for social events (e.g. whether to receive birthday cards, location for social dinner)",I read a newspaper article about: a mathematic genius,I think there has been enough research on younger populations,1/1/2019,73
Autistica - Adjustments,7,13838301,People start working too early in the morning and my request to start later was refused,My typing speed has increased a lot,Here are some things that have helped Extra time meeting with managers,I read a newspaper article about: low income and employment for autistic people,I can’t think of any right now,1/1/2019,74
Autistica - Adjustments,7,66718298,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I was successful in meeting my deadlines,Here are some things that have helped Using an internal advocate who can communicate on behalf of the employee,I watched a film about: low income and employment for autistic people,I think there has been enough research on younger populations,1/1/2019,75
Autistica - Adjustments,7,24641611,I don’t like socialising but it is compulsory to network as part of my job,I taught my coworkers to use this app,What has really helped is: Colleagues refrain from wearing strong perfumes if asked,I watched a film about: a cyber hacker,I can’t think of any right now,1/1/2019,76
Autistica - Adjustments,7,67388864,Sometime people misread my facial expressions,Not many successes to report unfortunately ,I would like to have more of: Trialling workspace before starting,My friend told me about another friend who said that:  superior focus,Nope,1/1/2019,77
Autistica - Adjustments,7,25055544,Sometime people misread my facial expressions,I have reduced the arguments I have with people,Examples of good adjustments include: One questions at a time,I saw a story about a: a cyber hacker,Not sure what to say,1/1/2019,78
Autistica - Adjustments,7,24503298,I was reallocated a new desk even though I liked my old desk,I changed jobs and used this app to transfer my reasonable adjustments ,I have tried the following: Secondary glazing (heat and sound protection),I watched a film about: excellent autistic creativity,Really enjoying this app,1/1/2019,79
Autistica - Adjustments,7,43928283,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I was praised by my coworkers but not my manager,I have tried the following: Access to senior mentoring,I read a newspaper article about: excellent autistic creativity,Really enjoying this app,1/1/2019,80
Autistica - Adjustments,7,19630284,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I enjoyed my work this week,I have tried the following: Repositioning of desk (e.g. in corner to avoid being startled),I watched a film about: bad parenting,I think there should be better pathways to requesting adjustments,1/1/2019,81
Autistica - Adjustments,7,87042105,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I ate less gluten which is harder than it sounds,I have tried the following: Flexible deadlines,I read a newspaper article about: difficulty in switching between tasks,Visualisations are nice,1/1/2019,82
Autistica - Adjustments,7,71593024,I had to do training on fire and safety even though I completed three months ago,I was able to use text instead of speech to interact in the meeting,Some things which I have tried are: Allocated desk (i.e. in otherwise hot-desking environment),My friend told me about another friend who said that:  superior focus,I'm finding this app sort of helpful,1/1/2019,83
Autistica - Adjustments,7,31866214,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I was able to network well this week which I usually struggle with,Examples of good adjustments include: Avoid working in areas with fluorescent strip lighting,I saw a story about a: bad parenting,Nope,1/1/2019,84
Autistica - Adjustments,7,97162166,I don’t like cookies but my team keeps celebrating cookies,I have more confidence in meetings,Examples of good adjustments include: Online accessible resources about getting up to speed in a new role,I watched a film about: low income and employment for autistic people,I think there should be more research in to employment opportunities,1/1/2019,85
Autistica - Adjustments,7,41273901,I had to do training on fire and safety even though I completed three months ago,I was successful in factoring in enough time to arrive at meetings without feeling flushed,Here are some things that have helped Flexi-time to avoid commuting in rush hour,My friend told me about another friend who said that:  low income and employment for autistic people,I can’t think of any right now,1/1/2019,86
Autistica - Adjustments,7,43440948,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I use dmy noise cancelling headphones really well,Examples of good adjustments include: Laptop stand (neck and back support),My friend told me about another friend who said that:  superior focus,Nope,1/1/2019,87
Autistica - Adjustments,7,77705205,We had an overnight hackathon and there were not enough vegan options,I was successful in meeting my deadlines,I have tried the following: Minimising public-facing responsibilities,I saw a story about a: a mathematic genius,Nope,1/1/2019,88
Autistica - Adjustments,7,58358243,I don’t like socialising but it is compulsory to network as part of my job,I have successfully managed a team to complete a project,I have requested this: Weekly plan with manager,I watched a film about: difficulty in switching between tasks,I'm finding this app sort of helpful,1/1/2019,89
Autistica - Adjustments,7,47815963,I asked for instructions to be written down but they are still provided verbally,Not many successes to report unfortunately ,I have tried the following: Maximise personal space where possible (e.g. spaced out seating in meetings),I watched a film about: excellent autistic creativity,I think there should be more research in to employment opportunities,1/1/2019,90
Autistica - Adjustments,7,69828639,Every birthday my office buys me cake but I don't eat cake,I worked in the quite room and that was very productive,What has really helped is: Remote working option,I read a newspaper article about: a mathematic genius,Visualisations are nice,1/1/2019,91
Autistica - Adjustments,7,38868666,I asked not to be moved to another team but this was rejected,I taught my coworkers to use this app,Here are some things that have helped One questions at a time,I read a newspaper article about: a mathematic genius,I can’t think of any right now,1/1/2019,92
Autistica - Adjustments,7,72888018,I had to do training on fire and safety even though I completed three months ago,I have more confidence in meetings,Here are some things that have helped Frequent feedback,My friend told me about another friend who said that:  bad parenting,I think there should be more research in to employment opportunities,1/1/2019,93
Autistica - Adjustments,7,43522829,Communication is not happening the way I have requested,I enjoyed my work this week,What has really helped is: No overnight stays,I watched a film about: a mathematic genius,Visualisations are nice,1/1/2019,94
Autistica - Adjustments,7,41811454,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I changed jobs and used this app to transfer my reasonable adjustments ,What has really helped is: Relaxed obligations to social commitments,I read a newspaper article about: a cyber hacker,Not sure what to say,1/1/2019,95
Autistica - Adjustments,7,40690745,I'm always asked to shake hands of clients but I don’t like to touch other people,It's so frustrating because I feel that I am close to success but it never really happens,I have requested this: Minimise meeting attendance,I watched a film about: low income and employment for autistic people,Visualisations are nice,1/1/2019,96
Autistica - Adjustments,7,25057429,I don’t like cookies but my team keeps celebrating cookies,I have reduced the arguments I have with people,I've not had much success asking for the following: Ergonomic wrist rest and keyboard.,My friend told me about another friend who said that:  bad parenting,I think there should be better pathways to requesting adjustments,1/1/2019,97
Autistica - Adjustments,7,39249976,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was successufl in extending my contract,Examples of good adjustments include: Maximise personal space where possible (e.g. spaced out seating in meetings),I saw a story about a: low income and employment for autistic people,Really enjoying this app,1/1/2019,98
Autistica - Adjustments,7,63410382,Every birthday my office buys me cake but I don't eat cake,I ate less gluten which is harder than it sounds,I have tried the following: Maximise personal space where possible (e.g. spaced out seating in meetings),My friend told me about another friend who said that:  low income and employment for autistic people,I can’t think of any right now,1/1/2019,99
Autistica - Adjustments,7,61657100,I asked for instructions to be written down but they are still provided verbally,I was able to network well this week which I usually struggle with,I've not had much success asking for the following: Evolving job role based on strengths,My friend told me about another friend who said that:  excellent autistic creativity,I think there should be more research in to employment opportunities,1/1/2019,100
Autistica - Adjustments,7,22222222,I was reallocated a new desk even though I liked my old desk,I was praised by my coworkers but not my manager,I have tried the following: Desk fan,I read a newspaper article about: bad parenting,I think there should be more research in to employment opportunities,1/14/2019,101
Autistica - Adjustments,7,11111111,I was reallocated a new desk even though I liked my old desk,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Some things which I have tried are: Written communication preference over verbal communication,I watched a film about: low income and employment for autistic people,I think there should be more research in to employment opportunities,1/14/2019,102
Autistica - Adjustments,7,12077101,I asked for instructions to be written down but they are still provided verbally,I was praised by my coworkers but not my manager,Here are some things that have helped No role-play on training courses,My friend told me about another friend who said that:  excellent autistic creativity,Nope,1/14/2019,103
Autistica - Adjustments,7,38961843,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I enjoyed my work this week,I've not had much success asking for the following: Software to improve accessibility (e.g. screen reader),My friend told me about another friend who said that:  a cyber hacker,Visualisations are nice,1/14/2019,104
Autistica - Adjustments,7,67611589,We had an overnight hackathon and there were not enough vegan options,I managed my anxiety before a big presentation better,What has really helped is: Minimise meeting attendance,I saw a story about a: bad parenting,Visualisations are nice,1/14/2019,105
Autistica - Adjustments,7,32500162,I had to do training on fire and safety even though I completed three months ago,Not many successes to report unfortunately ,I've not had much success asking for the following: Extra time meeting with managers,My friend told me about another friend who said that:  a cyber hacker,I would like to upgrade this app,1/14/2019,106
Autistica - Adjustments,7,90705766,I don’t like socialising but it is compulsory to network as part of my job,I use dmy noise cancelling headphones really well,Examples of good adjustments include: Remote working option,My friend told me about another friend who said that:  difficulty in switching between tasks,I'm finding this app sort of helpful,1/14/2019,107
Autistica - Adjustments,7,46465154,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I was able to network well this week which I usually struggle with,I have requested this: Trialling workspace before starting,I read a newspaper article about: low income and employment for autistic people,I think there should be more research in to employment opportunities,1/14/2019,108
Autistica - Adjustments,7,36480781,My manager often criticises me,I was praised by my coworkers but not my manager,I've not had much success asking for the following: Extra breaks to manage cognitive overload and processing speeds,I saw a story about a: difficulty in switching between tasks,Nope,1/14/2019,109
Autistica - Adjustments,7,86004302,Not sure what to say,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,"Here are some things that have helped Online access to further information about sources of support for job role, mental health and wellbeing",I read a newspaper article about: a mathematic genius,I think there should be more research in to employment opportunities,1/14/2019,110
Autistica - Adjustments,7,74046800,Communication is not happening the way I have requested,I feel really depressed that I have only been told that I have failed,What has really helped is: Consistent job duties,My friend told me about another friend who said that:  low income and employment for autistic people,I can’t think of any right now,1/14/2019,111
Autistica - Adjustments,7,67512682,I'm always asked to shake hands of clients but I don’t like to touch other people,I was successufl in extending my contract,Examples of good adjustments include: Tinted glasses (to minimise overpowering lights),I watched a film about: a cyber hacker,I think there should be better pathways to requesting adjustments,1/14/2019,112
